metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_receiving,1786861851,0.030000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1786861851,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
checks,1786861851,1.000000,login: status 200,,,,,,,,default,,,,,,,
checks,1786861851,1.000000,login: token present,,,,,,,,default,,,,,,,
http_reqs,1786861851,1.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_duration,1786861851,1.970000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_blocked,1786861851,0.008000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_connecting,1786861851,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_tls_handshaking,1786861851,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_sending,1786861851,0.031000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_waiting,1786861851,1.867000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_receiving,1786861851,0.072000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_failed,1786861851,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
checks,1786861851,1.000000,cart: status 200,,,,,,,,default,,,,,,,
vus,1786861851,2.000000,,,,,,,,,,,,,,,,
vus_max,1786861851,200.000000,,,,,,,,,,,,,,,,
vus,1786861852,2.000000,,,,,,,,,,,,,,,,
vus_max,1786861852,200.000000,,,,,,,,,,,,,,,,
http_reqs,1786861853,1.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_duration,1786861853,14.060000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_blocked,1786861853,0.010000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_connecting,1786861853,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_tls_handshaking,1786861853,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_sending,1786861853,0.040000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_waiting,1786861853,13.930000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_receiving,1786861853,0.090000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_failed,1786861853,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
checks,1786861853,1.000000,checkout: status 200,,,,,,,,default,,,,,,,
checks,1786861853,0.000000,checkout: order_id present,,,,,,,,default,,,,,,,
data_sent,1786861853,925.000000,,,,,,,,,default,,,,,,,
data_received,1786861853,1315.000000,,,,,,,,,default,,,,,,,
iteration_duration,1786861853,2951.661291,,,,,,,,,default,,,,,,,
iterations,1786861853,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1786861853,1.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_duration,1786861853,1.486000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_blocked,1786861853,0.005000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_connecting,1786861853,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_tls_handshaking,1786861853,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_sending,1786861853,0.023000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1786861853,1.426000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_receiving,1786861853,0.037000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1786861853,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
checks,1786861853,1.000000,login: status 200,,,,,,,,default,,,,,,,
checks,1786861853,1.000000,login: token present,,,,,,,,default,,,,,,,
http_reqs,1786861853,1.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_duration,1786861853,3.932000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_blocked,1786861853,0.012000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_connecting,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_tls_handshaking,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_sending,1786861853,0.045000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_waiting,1786861853,3.794000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
